# level	track	en	ko
4	basic	I asked him to turn down the music.	나는 그에게 음악 소리를 줄여 달라고 부탁했어요.
4	basic	The problem is more serious than we thought.	그 문제는 우리가 생각한 것보다 심각해요.
4	basic	Do you know the man standing over there?	저기 서 있는 남자를 아세요?
4	basic	I made my little sister clean the room.	나는 여동생에게 방을 청소하게 했어요.
4	basic	Although he was tired, he finished the work.	피곤했지만 그는 일을 끝냈어요.
4	basic	This is the best movie I have ever seen.	이것은 내가 본 최고의 영화예요.
4	basic	She spent the whole weekend preparing for the test.	그녀는 주말 내내 시험을 준비하며 보냈어요.
4	basic	The bridge being built will open next year.	건설 중인 그 다리는 내년에 개통돼요.
4	basic	I regret not listening to your advice.	네 조언을 듣지 않은 것을 후회해.
4	basic	Neither of us knew the answer.	우리 둘 다 답을 몰랐어요.
4	basic	The harder you try, the better you get.	노력할수록 더 나아져요.
4	basic	He seems to have forgotten our promise.	그는 우리 약속을 잊은 것 같아요.
4	basic	Would you mind opening the window?	창문을 열어 주시겠어요?
4	basic	It is no use crying over spilt milk.	엎지른 우유를 두고 울어 봐야 소용없어요.
4	basic	I couldn't help laughing at the joke.	그 농담에 웃지 않을 수 없었어요.
4	basic	The movie was so boring that I fell asleep.	영화가 너무 지루해서 잠들었어요.
4	basic	Not everyone agrees with the new rule.	모두가 새 규칙에 동의하는 것은 아니에요.
4	basic	He is used to getting up early.	그는 일찍 일어나는 데 익숙해요.
5	basic	If I were you, I would apologize first.	내가 너라면 먼저 사과할 거야.
5	basic	The novel has been translated into twenty languages.	그 소설은 스무 개 언어로 번역됐어요.
5	basic	I wish I had studied harder in school.	학교 다닐 때 더 열심히 공부했더라면 좋았을 텐데.
5	basic	She suggested that we take a short break.	그녀는 우리가 잠깐 쉬자고 제안했어요.
5	basic	The reason he was late was the heavy traffic.	그가 늦은 이유는 교통 체증이었어요.
5	basic	Despite the rain, the game continued.	비에도 불구하고 경기는 계속됐어요.
5	basic	It was the storm that canceled the flight.	비행기를 결항시킨 것은 바로 그 폭풍이었어요.
5	basic	Having finished the report, she went home.	보고서를 끝낸 뒤 그녀는 집에 갔어요.
5	basic	The more we learn, the more we realize.	배우면 배울수록 더 많이 깨달아요.
5	basic	He must have missed the last train.	그는 막차를 놓친 게 틀림없어요.
5	basic	What matters most is your health.	가장 중요한 것은 건강이에요.
5	basic	The company whose products we use is Korean.	우리가 쓰는 제품의 회사는 한국 회사예요.
5	basic	I would rather stay home than go out tonight.	오늘 밤은 나가느니 집에 있는 게 낫겠어요.
5	basic	Hardly had I arrived when it started to rain.	도착하자마자 비가 오기 시작했어요.
5	basic	It goes without saying that time is precious.	시간이 소중하다는 것은 말할 필요도 없어요.
5	basic	The experiment turned out to be a success.	실험은 성공으로 판명됐어요.
5	basic	He talks as if he knew everything.	그는 마치 모든 것을 아는 것처럼 말해요.
5	basic	Judging from the sky, it will rain soon.	하늘을 보니 곧 비가 오겠어요.
5	basic	I can't thank you enough for your help.	도와주신 것에 대해 아무리 감사해도 모자라요.
5	basic	There is no doubt that she will pass.	그녀가 합격할 것은 의심의 여지가 없어요.
6	basic	The professor whose lecture we attended is famous.	우리가 들은 강의의 교수님은 유명해요.
6	basic	Never have I seen such a beautiful sunset.	그렇게 아름다운 노을은 본 적이 없어요.
6	basic	The data suggests that sleep affects memory.	그 데이터는 수면이 기억에 영향을 준다는 것을 시사해요.
6	basic	Not until yesterday did I hear the news.	어제서야 그 소식을 들었어요.
6	basic	It is essential that everyone follow the rules.	모두가 규칙을 따르는 것이 필수적이에요.
6	basic	Scarcely anyone believed his story at first.	처음에는 그의 이야기를 믿는 사람이 거의 없었어요.
6	basic	The town, once famous for coal, is quiet now.	한때 석탄으로 유명했던 그 마을은 이제 조용해요.
6	basic	Whether we win or lose, we will try our best.	이기든 지든 우리는 최선을 다할 거예요.
6	basic	What he said turned out to be false.	그가 말한 것은 거짓으로 드러났어요.
6	basic	The higher we climbed, the colder it became.	높이 올라갈수록 더 추워졌어요.
6	basic	She devoted her whole life to helping others.	그녀는 남을 돕는 데 평생을 바쳤어요.
6	basic	Little did he know that his life would change.	그의 인생이 바뀔 줄은 그는 전혀 몰랐어요.
6	basic	The bridge connecting the two islands opened in May.	두 섬을 잇는 다리가 5월에 개통됐어요.
6	basic	No matter how busy you are, eat properly.	아무리 바빠도 제대로 챙겨 드세요.
6	basic	It was not until midnight that he came home.	자정이 되어서야 그는 집에 왔어요.
6	basic	Many species are in danger of extinction.	많은 종이 멸종 위기에 처해 있어요.
6	basic	The committee put off making a final decision.	위원회는 최종 결정을 미뤘어요.
6	basic	Seen from space, the earth looks blue.	우주에서 보면 지구는 파랗게 보여요.
6	basic	He insisted that the meeting be postponed.	그는 회의를 연기해야 한다고 주장했어요.
6	basic	Technology has changed the way we communicate.	기술은 우리가 소통하는 방식을 바꿨어요.
7	basic	The theory, though widely accepted, has weaknesses.	그 이론은 널리 받아들여지지만 약점이 있어요.
7	basic	Only after the war did the country recover.	전쟁이 끝난 후에야 그 나라는 회복했어요.
7	basic	The government announced measures to reduce pollution.	정부는 오염을 줄이기 위한 대책을 발표했어요.
7	basic	Faced with criticism, the company changed its policy.	비판에 직면하자 그 회사는 정책을 바꿨어요.
7	basic	The artist is said to have painted it in a week.	그 화가는 그것을 일주일 만에 그렸다고 해요.
7	basic	So rapid was the change that no one adapted easily.	변화가 너무 빨라서 아무도 쉽게 적응하지 못했어요.
7	basic	Access to clean water remains a global challenge.	깨끗한 물에 대한 접근은 여전히 세계적 과제예요.
7	basic	The findings contradict what scientists previously believed.	그 발견은 과학자들이 이전에 믿던 것과 모순돼요.
7	basic	Public opinion gradually shifted in favor of reform.	여론은 점차 개혁에 우호적으로 바뀌었어요.
7	basic	The extent of the damage has yet to be assessed.	피해 규모는 아직 평가되지 않았어요.
7	basic	Rarely does such an opportunity come twice.	그런 기회는 좀처럼 두 번 오지 않아요.
7	basic	The invention transformed how goods were produced.	그 발명은 상품 생산 방식을 변화시켰어요.
7	basic	Given the circumstances, the result was impressive.	상황을 고려하면 그 결과는 인상적이었어요.
7	basic	Efforts to preserve the forest are paying off.	숲을 보존하려는 노력이 결실을 맺고 있어요.
7	basic	The debate over free speech continues to this day.	표현의 자유에 대한 논쟁은 오늘날까지 계속돼요.
8	basic	The hypothesis was rejected after repeated experiments.	그 가설은 거듭된 실험 끝에 기각됐어요.
8	basic	Economic growth does not necessarily improve welfare.	경제 성장이 반드시 복지를 개선하는 것은 아니에요.
8	basic	The manuscript, discovered by chance, rewrote history.	우연히 발견된 그 필사본은 역사를 다시 썼어요.
8	basic	Consumers increasingly demand environmentally friendly products.	소비자들은 점점 친환경 제품을 요구해요.
8	basic	The policy had consequences that no one had foreseen.	그 정책은 아무도 예상하지 못한 결과를 낳았어요.
8	basic	Whatever conclusion you draw, base it on evidence.	어떤 결론을 내리든 증거에 근거하세요.
8	basic	The negotiations collapsed despite months of preparation.	수개월의 준비에도 협상은 결렬됐어요.
8	basic	Advances in medicine have doubled average life expectancy.	의학의 발전은 평균 수명을 두 배로 늘렸어요.
8	basic	The author explores how memory shapes identity.	그 작가는 기억이 정체성을 어떻게 형성하는지 탐구해요.
8	basic	Institutions must adapt or risk becoming obsolete.	기관은 적응하지 않으면 도태될 위험이 있어요.
8	basic	The committee weighed the benefits against the risks.	위원회는 이익과 위험을 견주어 봤어요.
8	basic	Critics argue that the law undermines basic rights.	비평가들은 그 법이 기본권을 약화시킨다고 주장해요.
9	basic	Please review the attached report before the meeting.	회의 전에 첨부된 보고서를 검토해 주세요.
9	basic	The shipment will be delivered within five business days.	선적물은 영업일 5일 이내에 배송됩니다.
9	basic	All employees are required to attend the safety training.	전 직원은 안전 교육에 참석해야 합니다.
9	basic	We apologize for any inconvenience this may cause.	불편을 끼쳐 드려 죄송합니다.
9	basic	The invoice should be paid by the end of the month.	청구서는 월말까지 결제되어야 합니다.
9	basic	Applicants must submit a resume and two references.	지원자는 이력서와 추천서 두 부를 제출해야 합니다.
9	basic	The meeting has been rescheduled for next Tuesday.	회의는 다음 주 화요일로 변경되었습니다.
9	basic	Our customer service team is available around the clock.	고객 서비스팀은 24시간 이용 가능합니다.
9	basic	The warranty covers repairs for up to two years.	보증은 최대 2년까지 수리를 보장합니다.
9	basic	Sales figures exceeded expectations in the third quarter.	3분기 매출이 예상을 초과했습니다.
9	basic	Please confirm your attendance by Friday.	금요일까지 참석 여부를 확인해 주세요.
9	basic	The new policy takes effect on January first.	새 정책은 1월 1일부터 시행됩니다.
10	basic	The study demonstrates a correlation between diet and mood.	그 연구는 식단과 기분의 상관관계를 보여줘요.
10	basic	Renewable energy accounts for a growing share of supply.	재생 에너지는 공급에서 차지하는 비중이 커지고 있어요.
10	basic	The species adapted remarkably to its harsh habitat.	그 종은 혹독한 서식지에 놀랍게 적응했어요.
10	basic	Urbanization has profoundly altered social structures.	도시화는 사회 구조를 근본적으로 바꾸었어요.
10	basic	The philosopher questioned the very notion of progress.	그 철학자는 진보라는 개념 자체에 의문을 제기했어요.
10	basic	Empirical evidence ultimately settled the long debate.	경험적 증거가 결국 오랜 논쟁을 매듭지었어요.
10	basic	Climate models predict increasingly frequent extreme weather.	기후 모델은 점점 잦은 극한 날씨를 예측해요.
10	basic	The excavation revealed artifacts from an unknown civilization.	발굴로 미지의 문명 유물이 드러났어요.
10	basic	Genetic diversity strengthens an ecosystem's resilience.	유전적 다양성은 생태계의 회복력을 강화해요.
10	basic	The reform faced resistance from entrenched interests.	그 개혁은 기득권의 저항에 부딪혔어요.
1	daily	Hello, nice to meet you.	안녕하세요, 만나서 반가워요.
1	daily	How are you today?	오늘 기분이 어때요?
1	daily	My name is Minsu.	제 이름은 민수예요.
1	daily	See you tomorrow.	내일 봐요.
1	daily	Thank you so much.	정말 고마워요.
1	daily	You're welcome.	천만에요.
1	daily	Excuse me.	실례합니다.
1	daily	Have a nice day.	좋은 하루 보내세요.
1	daily	Good luck!	행운을 빌어요!
1	daily	Long time no see.	오랜만이에요.
2	daily	Where are you from?	어디에서 오셨어요?
2	daily	I am from Korea.	저는 한국에서 왔어요.
2	daily	What do you do?	무슨 일을 하세요?
2	daily	Can you say that again?	다시 한번 말해 줄래요?
2	daily	I don't understand.	이해가 안 돼요.
2	daily	How much is this?	이거 얼마예요?
2	daily	It's too expensive.	너무 비싸요.
2	daily	Can I try it on?	입어 봐도 될까요?
2	daily	I'm just looking, thanks.	그냥 구경 중이에요, 감사해요.
2	daily	What time is it now?	지금 몇 시예요?
2	daily	Where is the restroom?	화장실이 어디예요?
2	daily	I like your shoes.	신발이 마음에 들어요.
2	daily	Let's eat out tonight.	오늘 밤엔 외식하자.
2	daily	I'm on my way.	가는 중이에요.
2	daily	Take care of yourself.	몸 조심하세요.
3	daily	Could you take a picture of us?	저희 사진 좀 찍어 주시겠어요?
3	daily	Is there a bank near here?	이 근처에 은행이 있나요?
3	daily	How do I get to the station?	역까지 어떻게 가나요?
3	daily	Go straight and turn left.	직진해서 왼쪽으로 도세요.
3	daily	How long does it take?	얼마나 걸려요?
3	daily	I'd like a table for two.	두 명 자리 부탁해요.
3	daily	Can I see the menu, please?	메뉴판 좀 볼 수 있을까요?
3	daily	I'll have the chicken salad.	치킨 샐러드로 할게요.
3	daily	Could I get the bill, please?	계산서 좀 주시겠어요?
3	daily	Keep the change.	잔돈은 가지세요.
3	daily	Do you have this in a bigger size?	이거 더 큰 사이즈 있나요?
3	daily	I'm allergic to peanuts.	저는 땅콩 알레르기가 있어요.
3	daily	What do you recommend?	뭘 추천하세요?
3	daily	Is this seat taken?	이 자리 주인 있나요?
3	daily	Sorry, I'm running late.	미안해요, 좀 늦을 것 같아요.
3	daily	Let me check my schedule.	일정 좀 확인해 볼게요.
3	daily	That sounds like a great plan.	그거 좋은 계획인 것 같아요.
3	daily	I'm looking for this address.	이 주소를 찾고 있어요.
3	daily	Can you speak more slowly, please?	좀 더 천천히 말해 주시겠어요?
3	daily	I really appreciate your help.	도와주셔서 정말 감사해요.
4	daily	I'd like to check in, please.	체크인하고 싶어요.
4	daily	I have a reservation under Kim.	김으로 예약했어요.
4	daily	What time is checkout?	체크아웃은 몇 시예요?
4	daily	Could I have a wake-up call at seven?	일곱 시에 모닝콜 해 주시겠어요?
4	daily	The air conditioner doesn't work.	에어컨이 작동하지 않아요.
4	daily	Can I store my luggage here?	짐을 여기 맡길 수 있나요?
4	daily	Where can I catch a taxi?	택시는 어디서 잡을 수 있나요?
4	daily	How often does the bus come?	버스가 얼마나 자주 와요?
4	daily	I missed my stop.	내릴 곳을 지나쳤어요.
4	daily	Is breakfast included in the price?	가격에 아침 식사가 포함되나요?
4	daily	Could you recommend a good local restaurant?	괜찮은 현지 식당을 추천해 주시겠어요?
4	daily	I'd like to book a city tour.	시티 투어를 예약하고 싶어요.
4	daily	Do you accept credit cards?	신용카드 받으세요?
4	daily	Can I get a refund for this?	이거 환불받을 수 있을까요?
4	daily	It doesn't fit me well.	저한테 잘 안 맞아요.
4	daily	I'll take this one.	이걸로 할게요.
4	daily	Could you gift-wrap it, please?	선물 포장해 주시겠어요?
4	daily	My phone battery is dying.	휴대폰 배터리가 다 돼 가요.
4	daily	Do you have free Wi-Fi here?	여기 무료 와이파이 있나요?
4	daily	What's the Wi-Fi password?	와이파이 비밀번호가 뭐예요?
5	daily	Where is the boarding gate for this flight?	이 항공편 탑승구가 어디예요?
5	daily	I'd like a window seat, please.	창가 좌석으로 부탁해요.
5	daily	Do I need to transfer?	환승해야 하나요?
5	daily	My flight was delayed two hours.	제 비행기가 두 시간 지연됐어요.
5	daily	I have nothing to declare.	신고할 물품이 없어요.
5	daily	I'm here on vacation for a week.	일주일간 휴가로 왔어요.
5	daily	Where is the baggage claim?	수하물 찾는 곳이 어디예요?
5	daily	My suitcase hasn't come out yet.	제 여행 가방이 아직 안 나왔어요.
5	daily	Could you exchange this for Korean won?	이걸 한국 원화로 환전해 주시겠어요?
5	daily	What's the exchange rate today?	오늘 환율이 어떻게 되나요?
5	daily	I lost my passport.	여권을 잃어버렸어요.
5	daily	Where is the nearest police station?	가장 가까운 경찰서가 어디예요?
5	daily	I need to see a doctor.	의사를 만나야 해요.
5	daily	I have a terrible headache.	머리가 너무 아파요.
5	daily	Do you have anything for a cold?	감기에 먹을 약 있나요?
5	daily	Call an ambulance, please!	구급차를 불러 주세요!
5	daily	Is it within walking distance?	걸어갈 수 있는 거리인가요?
5	daily	Can I get there by subway?	지하철로 갈 수 있나요?
5	daily	This is my first visit to this city.	이 도시는 처음 방문이에요.
5	daily	Could you write it down for me?	그것 좀 적어 주시겠어요?
6	daily	Would you mind taking our order later?	주문은 조금 있다가 받아 주시겠어요?
6	daily	I'd like my steak medium rare, please.	스테이크는 미디엄 레어로 부탁해요.
6	daily	Could we get separate checks?	계산서를 따로 주시겠어요?
6	daily	Is the tip included in the bill?	팁이 계산서에 포함되어 있나요?
6	daily	I think there's a mistake on the bill.	계산서에 오류가 있는 것 같아요.
6	daily	Could you heat this up for me?	이것 좀 데워 주시겠어요?
6	daily	Can I get this to go?	이거 포장해 갈 수 있나요?
6	daily	What are your opening hours?	영업시간이 어떻게 되나요?
6	daily	Is there an English menu available?	영어 메뉴판이 있나요?
6	daily	I'd like to cancel my reservation.	예약을 취소하고 싶어요.
6	daily	Could you call me a taxi, please?	택시 좀 불러 주시겠어요?
6	daily	How far is the airport from here?	공항이 여기서 얼마나 먼가요?
6	daily	Please take me to this hotel.	이 호텔로 가 주세요.
6	daily	You can drop me off here.	여기서 내려 주시면 돼요.
6	daily	Sorry, I think you gave me the wrong change.	죄송한데 거스름돈이 잘못 나온 것 같아요.
7	daily	Could you break this bill into smaller ones?	이 지폐를 잔돈으로 바꿔 주시겠어요?
7	daily	I'd like to extend my stay by two nights.	숙박을 이틀 연장하고 싶어요.
7	daily	Is there a pharmacy open late around here?	이 근처에 늦게까지 하는 약국이 있나요?
7	daily	My room key doesn't seem to work.	방 키가 작동하지 않는 것 같아요.
7	daily	Could you keep an eye on my bag for a second?	잠깐 제 가방 좀 봐 주시겠어요?
7	daily	I was overcharged on this receipt.	이 영수증에 요금이 과다 청구됐어요.
7	daily	Do you offer any discounts for students?	학생 할인이 있나요?
7	daily	What's the best way to get downtown?	시내로 가는 가장 좋은 방법이 뭔가요?
7	daily	Are there any seats left for tonight's show?	오늘 밤 공연 자리가 남아 있나요?
7	daily	Could you point it out on the map?	지도에서 짚어 주시겠어요?
7	daily	I'm afraid I've lost my way.	길을 잃은 것 같아요.
7	daily	Is tap water safe to drink here?	여기 수돗물은 마셔도 안전한가요?
7	daily	Could I borrow a phone charger?	휴대폰 충전기를 빌릴 수 있을까요?
7	daily	What souvenirs is this town famous for?	이 마을은 어떤 기념품이 유명한가요?
7	daily	The view from here is absolutely breathtaking.	여기서 보는 경치는 정말 숨이 막혀요.
