# L1 초등 1~2학년: word	pos	ko	example_en	example_ko
sky	명	하늘	The sky is clear.	하늘이 맑아요.
rain	명	비	Rain falls from the sky.	비가 하늘에서 내려요.
snow	명	눈(날씨)	I love snow in winter.	나는 겨울에 오는 눈을 좋아해요.
tree	명	나무	The bird is in the tree.	새가 나무에 있어요.
flower	명	꽃	This flower smells good.	이 꽃은 향기가 좋아요.
ball	명	공	Throw the ball.	공을 던져요.
toy	명	장난감	The toy is on the bed.	장난감이 침대 위에 있어요.
car	명	자동차	The car is very fast.	그 차는 아주 빨라요.
bus	명	버스	I take the bus.	나는 버스를 타요.
train	명	기차	The train is long.	기차는 길어요.
cup	명	컵	The cup is empty.	컵이 비어 있어요.
box	명	상자	What is in the box?	상자 안에 뭐가 있어요?
hat	명	모자	I wear a hat.	나는 모자를 써요.
shoe	명	신발	Where is my shoe?	내 신발이 어디 있지?
bed	명	침대	I sleep in my bed.	나는 침대에서 자요.
room	명	방	My room is clean.	내 방은 깨끗해요.
morning	명	아침	Good morning, everyone.	여러분, 좋은 아침이에요.
night	명	밤	Good night, mom.	엄마, 안녕히 주무세요.
today	부	오늘	Today is my birthday.	오늘은 내 생일이에요.
