# L3 초등 5~6학년
enjoy	동	즐기다	Enjoy your meal.	맛있게 드세요.
wear	동	입다	Wear your seatbelt.	안전벨트를 매세요.
feel	동	느끼다	I feel great today.	오늘 기분이 아주 좋아요.
sound	동	~하게 들리다	That sounds like fun.	그거 재미있겠는데요.
taste	동	맛이 나다	This soup tastes salty.	이 수프는 짠맛이 나요.
smell	동	냄새가 나다	The flowers smell sweet.	꽃에서 달콤한 향기가 나요.
usually	부	보통	I usually get up at seven.	나는 보통 일곱 시에 일어나요.
often	부	자주	We often play badminton.	우리는 자주 배드민턴을 쳐요.
soon	부	곧	The bus will come soon.	버스가 곧 올 거예요.
again	부	다시	Please say that again.	다시 말씀해 주세요.
really	부	정말	The cake is really good.	케이크가 정말 맛있어요.
